iter	Logloss
0	0.666637401
5	0.5608501394
10	0.4888012712
15	0.4375548118
20	0.4018981223
25	0.369474721
30	0.34810825
35	0.329509477
40	0.3084770099
45	0.2920976674
50	0.2809096953
55	0.2734945372
60	0.2617907313
65	0.2537922306
70	0.2441896399
75	0.2344579138
80	0.2277098511
85	0.2189929902
90	0.2100552074
95	0.2035965013
100	0.1998166342
105	0.193547029
110	0.1881789347
115	0.1835941495
120	0.177412205
125	0.1730126675
130	0.1704365214
135	0.1661276401
140	0.1607655505
145	0.1564291645
150	0.1511408336
155	0.1474867659
160	0.1442606127
165	0.1405486356
170	0.137336044
175	0.1345446268
180	0.1313818975
185	0.1286711831
190	0.1264864738
195	0.1234088045
200	0.1201858646
205	0.1170519199
210	0.1143253018
215	0.1124396165
220	0.1094362505
225	0.1077566999
230	0.1054157317
235	0.1032427799
240	0.1014384442
245	0.09975749114
250	0.09729015162
255	0.09536567391
260	0.09323455769
265	0.09201537551
270	0.09096710308
275	0.08976560145
280	0.08799265093
285	0.08655295539
290	0.08478599598
295	0.08391483547
300	0.08267337728
305	0.08117659608
310	0.0793622457
315	0.07798271987
320	0.07679479353
325	0.07562428223
330	0.07451191864
335	0.07354814116
340	0.07283790979
345	0.07182723152
350	0.07130296256
355	0.06938180718
360	0.06849485196
365	0.06765521281
370	0.0664010848
375	0.06542476686
380	0.06446486317
385	0.06359761731
390	0.06303868165
395	0.06208501415
400	0.06151415076
405	0.06097786555
410	0.06022965196
415	0.05914800638
420	0.05839335236
425	0.05776174057
430	0.05701636594
435	0.05644111135
440	0.05599436586
445	0.05498264936
450	0.05440646206
455	0.05365688345
460	0.05332869368
465	0.05267610623
470	0.05198556379
475	0.05126546752
480	0.0506652137
485	0.05029619593
490	0.04965036889
495	0.04916955583
500	0.04894955308
505	0.04867249531
510	0.04827266763
515	0.04752179889
520	0.04694494099
525	0.04661514111
530	0.04640571129
535	0.04589615797
540	0.04540518046
545	0.04488571118
550	0.04452667404
555	0.04373219962
560	0.043478051
565	0.04298569486
570	0.042671945
575	0.04230861538
580	0.04191361802
585	0.04167987659
590	0.04135272845
595	0.04111298911
600	0.04074437983
605	0.040447194
610	0.0400203485
615	0.03957408639
620	0.03925567981
625	0.03888667226
630	0.03857676555
635	0.03838795057
640	0.03808222402
645	0.03783458391
650	0.0375519197
655	0.03729771321
660	0.03703233468
665	0.03679223451
670	0.03660836559
675	0.03645991905
680	0.03622999694
685	0.03604925292
690	0.03590288284
695	0.03564777088
700	0.03535815222
705	0.03489583328
710	0.03475771117
715	0.03457569745
720	0.03438668843
725	0.03413722377
730	0.03389007724
735	0.03374252256
740	0.03360489064
745	0.0333816915
750	0.0331250273
755	0.03290596747
760	0.03271749629
765	0.03259216655
770	0.03238478256
775	0.03228407419
780	0.03197110046
785	0.03183532714
790	0.03151513003
795	0.03130607466
800	0.03112196065
805	0.03093432686
810	0.03077500443
815	0.03055951543
820	0.03043500947
825	0.03026739481
830	0.03009421796
835	0.02992756324
840	0.02963116034
845	0.02939437229
850	0.02926711246
855	0.0290563823
860	0.02889925888
865	0.0287348304
870	0.02855866821
875	0.02842063461
880	0.02819817244
885	0.0280009512
890	0.02788042795
895	0.0277966853
900	0.02766440792
905	0.02755974748
910	0.02745420539
915	0.0273423403
920	0.02707209911
925	0.02688857059
930	0.02664817768
935	0.02653689638
940	0.02635519753
945	0.026194522
950	0.02610403595
955	0.02596198219
960	0.02584587398
965	0.02579693758
970	0.02565894142
975	0.02552241751
980	0.02542375498
985	0.02526789445
990	0.02512582877
995	0.02497914723
1000	0.02481140832
1005	0.02470608068
1010	0.02455815326
1015	0.02438645887
1020	0.02422315882
1025	0.02399967885
1030	0.0239254743
1035	0.02380883506
1040	0.0237258481
1045	0.02361364772
1050	0.0234989624
1055	0.02341795318
1060	0.02323855376
1065	0.02316936676
1070	0.02301504826
1075	0.02289567217
1080	0.02277661436
1085	0.02260028027
1090	0.02245075805
1095	0.02232163281
1100	0.02222615986
1105	0.02209162561
1110	0.02205493011
1115	0.02200333857
1120	0.02192325355
1125	0.0218411993
1130	0.02167128181
1135	0.02160296965
1140	0.02150755626
1145	0.02137484998
1150	0.02127147456
1155	0.02110830046
1160	0.02104451566
1165	0.0209523242
1170	0.0208260209
1175	0.02075338051
1180	0.02069192066
1185	0.02058619476
1190	0.0205068399
1195	0.0204449886
1199	0.02038809016
